"Referred.a.Friend" "Number.of.Referrals" "Tenure.in.Months" "Offer" "Phone.Service" "Avg.Monthly.Long.Distance.Charges" "Multiple.Lines" "Internet.Service" "Internet.Type" "Avg.Monthly.GB.Download" "Online.Security" "Online.Backup" "Device.Protection.Plan" "Premium.Tech.Support" "Streaming.TV" "Streaming.Movies" "Streaming.Music" "Unlimited.Data" "Contract" "Paperless.Billing" "Payment.Method" "Monthly.Charge" "Total.Regular.Charges" "Total.Refunds" "Total.Extra.Data.Charges" "Total.Long.Distance.Charges" "Gender" "Age" "Married" "Dependents" "Number.of.Dependents" "Latitude" "Longitude" "Population" "Churn.Value" "CLTV" "Total.Customer.Svc.Requests" "Product.Service.Issues.Reported" "Customer.Satisfaction"
"6899" "Yes" 1 40 "None" "Yes" 31.37 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 19.1 780.1 1 0 1254.8 "Female" 39 "Yes" "No" 0 34.238208 -118.55029 25751 0 2056 2 0 "-99"
"5053" "Yes" 1 34 "Offer C" "Yes" 44.54 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 20.8 635.9 1 0 1514.36 "Male" 44 "Yes" "Yes" 1 33.787796 -117.875928 23172 0 4985 0 0 "-99"
"4790" "Yes" 1 26 "Offer C" "Yes" 25.63 "Yes" "Yes" "Cable" 19 "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "One Year" "Yes" "Credit Card" 90.1 2312.55 1 0 666.38 "Female" 46 "Yes" "No" 0 34.182378 -118.262922 9864 0 2068 0 0 "-99"
"6648" "Yes" 9 52 "None" "No" 0 "No" "Yes" "Fiber Optic" 19 "Yes" "No" "Yes" "No" "No" "Yes" "Yes" "No" "One Year" "No" "Bank Withdrawal" 44.25 2276.1 1 432 0 "Male" 48 "Yes" "Yes" 2 38.646096 -121.442433 34894 0 6340 1 0 "s3"
"728" "No" 0 2 "None" "Yes" 7.03 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Bank Withdrawal" 19.2 37.2 0 0 14.06 "Male" 80 "No" "No" 0 37.654436 -122.426468 60599 0 4577 1 1 "-99"
"2972" "No" 0 3 "None" "Yes" 38.05 "No" "Yes" "Fiber Optic" 7 "Yes" "No" "No" "Yes" "Yes" "No" "No" "Yes" "Month-to-Month" "Yes" "Credit Card" 64.4 195.65 0 1.37 114.15 "Male" 37 "No" "No" 0 36.175255 -119.813805 1729 0 5645 0 0 "-99"
"4544" "Yes" 10 69 "None" "Yes" 45.12 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "Yes" "Credit Card" 24.95 1718.35 0 0 3113.28 "Female" 23 "Yes" "No" 0 38.691607 -121.602284 264 0 4106 0 0 "-99"
"1354" "No" 0 2 "Offer E" "Yes" 14.7 "No" "Yes" "Fiber Optic" 14 "No" "Yes" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 51.012 91.1 0 13 29.4 "Female" 42 "No" "No" 0 38.339996 -122.935056 66 1 2960 1 2 "-99"
"2317" "Yes" 1 33 "None" "Yes" 35.31 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "Yes" "Credit Card" 24.5 740.3 1 0 1165.23 "Female" 21 "Yes" "No" 0 38.581354 -122.296283 9423 1 5194 0 0 "-99"
"3895" "Yes" 5 67 "Offer A" "Yes" 1.36 "Yes" "Yes" "DSL" 82 "Yes" "No" "No" "No" "Yes" "Yes" "Yes" "No" "Two Year" "Yes" "Bank Withdrawal" 75.5 5229.45 0 4288 91.12 "Female" 24 "Yes" "No" 0 34.109775 -117.378904 75882 0 5420 0 0 "-99"
"4359" "Yes" 4 42 "Offer B" "Yes" 9.33 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "One Year" "No" "Credit Card" 20.25 854.9 0 0 391.86 "Male" 57 "Yes" "Yes" 2 37.722127 -120.110174 2271 0 4439 0 0 "-99"
"770" "Yes" 2 70 "None" "Yes" 9.4 "Yes" "Yes" "Fiber Optic" 17 "No" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "One Year" "Yes" "Bank Withdrawal" 107.9 7475.85 0 1271 658 "Female" 65 "Yes" "Yes" 2 38.619049 -121.517552 31422 0 5899 2 1 "s3"
"1433" "Yes" 1 16 "None" "Yes" 37.83 "Yes" "Yes" "Cable" 29 "No" "Yes" "No" "No" "Yes" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 104 1534.75 0 445 605.28 "Female" 61 "Yes" "No" 0 38.517295 -121.439819 30580 1 3794 3 1 "s1"
"1871" "Yes" 1 67 "None" "Yes" 32.15 "Yes" "Yes" "Cable" 31 "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "Yes" "Credit Card" 113.1 7156.2 0 2218 2154.05 "Female" 59 "Yes" "No" 0 33.03933 -115.191857 23394 1 5516 1 3 "-99"
"5216" "Yes" 5 72 "Offer A" "No" 0 "No" "Yes" "DSL" 23 "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "No" "Bank Withdrawal" 65.7 4575.35 0 1052 0 "Female" 44 "Yes" "Yes" 2 36.414611 -121.6386 6691 0 6187 0 0 "-99"
"4201" "Yes" 1 62 "None" "Yes" 2.41 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Bank Withdrawal" 20.3 1296.15 0 0 149.42 "Female" 57 "Yes" "Yes" 2 37.724817 -122.224363 13996 0 4574 0 0 "-99"
"5502" "Yes" 2 52 "Offer B" "Yes" 10.03 "No" "Yes" "Fiber Optic" 29 "No" "No" "Yes" "No" "No" "No" "No" "Yes" "One Year" "Yes" "Bank Withdrawal" 50.95 2610.65 0 0 521.56 "Female" 59 "Yes" "Yes" 2 39.220368 -122.907693 2344 0 4298 1 0 "-99"
"286" "Yes" 1 1 "None" "Yes" 17.51 "Yes" "Yes" "Cable" 23 "Yes" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 83.512 80.3 0 0 17.51 "Male" 78 "Yes" "No" 0 37.924014 -122.511694 9038 1 4138 2 2 "-99"
"5200" "No" 0 10 "None" "No" 0 "No" "Yes" "Fiber Optic" 23 "No" "Yes" "No" "Yes" "No" "No" "No" "No" "Month-to-Month" "No" "Bank Withdrawal" 36.25 374 0 86 0 "Female" 33 "No" "No" 0 36.545322 -119.642281 26213 0 4571 0 0 "-99"
"4245" "No" 0 66 "Offer A" "No" 0 "No" "Yes" "Fiber Optic" 29 "Yes" "Yes" "Yes" "Yes" "No" "No" "No" "No" "Two Year" "Yes" "Mailed Check" 47.4 3177.25 0 921 0 "Female" 64 "No" "No" 0 38.421458 -122.365048 2873 0 6435 0 0 "-99"
"4643" "Yes" 7 68 "None" "Yes" 6.28 "No" "Yes" "Cable" 16 "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Two Year" "Yes" "Credit Card" 85 5607.75 0 0 427.04 "Female" 61 "Yes" "Yes" 1 41.465121 -122.380947 5896 0 6221 2 0 "-99"
"2395" "No" 0 45 "Offer B" "Yes" 14.12 "Yes" "Yes" "Cable" 26 "No" "Yes" "No" "No" "Yes" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 92.872 4016.85 1 1044 635.4 "Female" 41 "No" "No" 0 38.432145 -120.77069 4610 1 4880 6 0 "s2"
"1774" "No" 0 1 "Offer E" "Yes" 16.15 "Yes" "Yes" "Fiber Optic" 13 "No" "No" "No" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 97.604 93.85 0 0 16.15 "Female" 49 "No" "No" 0 41.949216 -122.050062 1162 1 3014 1 0 "s3"
"1741" "Yes" 1 71 "Offer A" "Yes" 5.76 "Yes" "Yes" "Fiber Optic" 12 "No" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "Yes" "Credit Card" 112.944 7690.9 0 923 408.96 "Male" 57 "Yes" "No" 0 38.815515 -120.916997 485 1 4982 2 2 "-99"
"3017" "No" 0 63 "Offer B" "Yes" 40.34 "No" "Yes" "Cable" 8 "No" "No" "Yes" "Yes" "Yes" "No" "No" "No" "One Year" "Yes" "Credit Card" 90.05 5817 0 465 2541.42 "Female" 41 "No" "No" 0 38.184583 -119.286558 826 1 4039 2 1 "-99"
"1996" "Yes" 1 17 "Offer D" "Yes" 25.79 "Yes" "Yes" "Cable" 13 "Yes" "No" "Yes" "No" "Yes" "No" "No" "No" "Month-to-Month" "No" "Bank Withdrawal" 98.176 1607.2 0 209 438.43 "Female" 57 "Yes" "No" 0 37.863843 -122.275684 19763 1 4103 1 1 "s1"
"600" "Yes" 5 55 "None" "Yes" 33.21 "No" "Yes" "Cable" 4 "No" "No" "Yes" "Yes" "Yes" "No" "No" "No" "Two Year" "No" "Credit Card" 88.8 4805.3 0 192 1826.55 "Female" 67 "Yes" "No" 0 38.838088 -122.73203 1591 0 4291 1 1 "s3"
"1150" "Yes" 1 47 "None" "Yes" 31.35 "Yes" "Yes" "Cable" 18 "No" "Yes" "No" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 103.324 4749.15 0 0 1473.45 "Male" 61 "Yes" "Yes" 1 34.099869 -118.326843 30568 1 5789 1 1 "-99"
"2791" "Yes" 10 23 "None" "Yes" 17.82 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "One Year" "No" "Credit Card" 20.05 415.1 0 0 409.86 "Female" 44 "Yes" "No" 0 34.137742 -114.36514 1564 0 3742 1 1 "s4"
"471" "No" 0 16 "None" "No" 0 "No" "Yes" "DSL" 26 "No" "Yes" "No" "No" "Yes" "No" "No" "Yes" "Month-to-Month" "Yes" "Mailed Check" 40.56 679.85 0 0 0 "Male" 68 "No" "No" 0 32.808814 -117.134694 25232 1 5692 1 4 "-99"
"2369" "No" 0 2 "Offer E" "Yes" 29.69 "No" "Yes" "DSL" 57 "No" "No" "No" "No" "No" "No" "Yes" "No" "Month-to-Month" "No" "Bank Withdrawal" 47.892 80.35 0 46 59.38 "Male" 27 "No" "No" 0 38.93706 -123.118111 1373 1 4662 2 0 "s3"
"3971" "Yes" 8 41 "Offer B" "Yes" 18.84 "Yes" "Yes" "Fiber Optic" 26 "Yes" "Yes" "Yes" "No" "Yes" "No" "No" "Yes" "One Year" "Yes" "Credit Card" 78.35 3211.2 0 0 772.44 "Female" 28 "Yes" "No" 0 33.850452 -117.726668 19629 0 2894 1 0 "-99"
"4049" "Yes" 5 62 "Offer B" "Yes" 20.96 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 20.05 1263.9 0 0 1299.52 "Male" 64 "Yes" "Yes" 1 35.233745 -120.626442 27047 0 6444 0 0 "-99"
"3641" "No" 0 31 "None" "Yes" 6.4 "Yes" "Yes" "DSL" 24 "No" "Yes" "No" "Yes" "Yes" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 71.05 2168.15 0 0 198.4 "Male" 39 "No" "No" 0 33.890853 -118.297967 47758 0 4443 1 0 "s4"
"5009" "No" 0 10 "Offer D" "Yes" 19.1 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 20 198.6 0 0 191 "Male" 51 "No" "No" 0 33.644849 -117.684254 59176 0 4802 1 1 "s4"
"4464" "Yes" 2 72 "Offer A" "Yes" 6.89 "Yes" "Yes" "DSL" 73 "Yes" "Yes" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Two Year" "Yes" "Bank Withdrawal" 109.65 7880.25 0 0 496.08 "Male" 20 "Yes" "No" 0 40.809636 -124.189977 395 0 6181 1 0 "-99"
"4844" "No" 0 1 "Offer E" "Yes" 29.86 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 20.35 20.35 0 0 29.86 "Female" 30 "No" "No" 0 34.074087 -117.605618 49474 0 2183 1 2 "-99"
"1195" "No" 0 1 "Offer E" "Yes" 44.59 "No" "Yes" "Cable" 45 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 73.424 70.6 0 0 44.59 "Male" 30 "No" "No" 0 34.067932 -117.785168 36057 0 3338 5 0 "-99"
"929" "No" 0 69 "None" "Yes" 20.62 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 20.3 1356.3 0 0 1422.78 "Male" 67 "No" "No" 0 40.946785 -121.719489 4552 0 4042 0 0 "-99"
"2762" "Yes" 6 37 "None" "Yes" 4.5 "Yes" "Yes" "DSL" 9 "Yes" "No" "Yes" "Yes" "No" "No" "No" "Yes" "Two Year" "Yes" "Credit Card" 62.8 2278.75 1 0 166.5 "Male" 57 "Yes" "No" 0 32.99356 -117.207121 1072 0 5229 1 0 "s3"
"2005" "No" 0 39 "None" "No" 0 "No" "Yes" "Cable" 53 "Yes" "Yes" "No" "Yes" "Yes" "No" "No" "Yes" "Month-to-Month" "Yes" "Credit Card" 50.908 1880.85 0 0 0 "Male" 27 "No" "No" 0 37.351214 -121.952417 36349 1 3080 3 0 "-99"
"5168" "No" 0 20 "None" "Yes" 22.75 "Yes" "Yes" "Fiber Optic" 11 "No" "Yes" "No" "Yes" "No" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Credit Card" 68.9 1370.35 0 151 455 "Female" 44 "No" "No" 0 36.5276 -119.865999 5446 0 3265 1 0 "s5"
"733" "Yes" 8 70 "Offer A" "Yes" 46.2 "Yes" "Yes" "Cable" 14 "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "Yes" "Two Year" "Yes" "Credit Card" 113 7987.6 0 0 3234 "Female" 74 "Yes" "No" 0 38.006047 -121.916834 78816 0 4588 1 0 "-99"
"2296" "No" 0 3 "Offer E" "Yes" 5.2 "Yes" "Yes" "Fiber Optic" 25 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 78.832 246.3 0 62 15.6 "Female" 63 "No" "No" 0 37.380662 -122.086022 32143 0 5475 3 1 "s1"
"3984" "No" 0 1 "None" "Yes" 2.98 "No" "Yes" "Fiber Optic" 26 "Yes" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 51.2 51.2 0 0 2.98 "Female" 42 "No" "Yes" 3 33.893823 -117.531446 44875 0 3699 0 0 "-99"
"3390" "No" 0 31 "None" "Yes" 25.58 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Bank Withdrawal" 20.4 609.1 0 0 792.98 "Male" 56 "No" "No" 0 40.440636 -124.098739 1125 0 5363 0 0 "-99"
"1187" "No" 0 1 "None" "Yes" 35.6 "No" "Yes" "Fiber Optic" 64 "No" "No" "No" "No" "Yes" "No" "Yes" "No" "Month-to-Month" "No" "Credit Card" 57.408 55.2 0 0 35.6 "Female" 22 "Yes" "No" 0 34.17847 -118.459472 23646 1 3638 3 0 "-99"
"2470" "No" 0 12 "None" "Yes" 25.54 "No" "Yes" "Fiber Optic" 30 "No" "No" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 99.84 1062.1 0 0 306.48 "Female" 46 "No" "No" 0 33.798266 -118.300237 24660 0 5239 0 0 "-99"
"3005" "No" 0 5 "None" "Yes" 31.78 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 20.35 92.75 0 0 158.9 "Male" 46 "No" "No" 0 35.996008 -120.85305 670 0 2303 0 0 "-99"
"2662" "Yes" 5 40 "None" "Yes" 48.29 "Yes" "Yes" "Fiber Optic" 23 "No" "Yes" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "No" "Credit Card" 56.6 2379.1 0 0 1931.6 "Female" 62 "Yes" "No" 0 34.130861 -118.68346 23661 0 3359 1 1 "-99"
"2728" "Yes" 2 23 "Offer D" "Yes" 16.63 "No" "Yes" "Fiber Optic" 22 "No" "Yes" "Yes" "Yes" "No" "No" "No" "Yes" "One Year" "No" "Credit Card" 86.8 1940.8 0 0 382.49 "Male" 51 "Yes" "No" 0 32.636792 -117.054989 74025 0 3200 0 0 "-99"
"6319" "No" 0 6 "Offer E" "Yes" 45.67 "No" "Yes" "Fiber Optic" 71 "No" "No" "Yes" "No" "Yes" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 60.9 414.1 0 294 274.02 "Male" 29 "No" "No" 0 37.990118 -122.012188 18650 0 2191 0 0 "-99"
"4629" "Yes" 4 26 "None" "Yes" 12.71 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 19.65 494.9 0 0 330.46 "Female" 40 "Yes" "Yes" 2 40.331975 -121.460674 78 0 4184 0 0 "-99"
"5018" "No" 0 5 "Offer E" "Yes" 42.52 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Bank Withdrawal" 20.65 93.55 0 0 212.6 "Male" 40 "No" "No" 0 33.634626 -117.874882 28687 0 5597 0 0 "-99"
"1605" "Yes" 1 13 "None" "No" 0 "No" "Yes" "Cable" 9 "No" "No" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 50.7 633.4 0 0 0 "Female" 42 "Yes" "No" 0 35.869626 -119.498771 1054 1 2655 3 1 "s2"
"5343" "Yes" 1 13 "None" "Yes" 13.32 "No" "Yes" "Fiber Optic" 21 "No" "No" "No" "No" "Yes" "Yes" "Yes" "No" "One Year" "Yes" "Bank Withdrawal" 64.75 877.35 0 184 173.16 "Male" 59 "Yes" "Yes" 1 38.129308 -122.834815 406 0 4741 0 0 "-99"
"4031" "Yes" 8 68 "Offer A" "Yes" 23.14 "Yes" "Yes" "Fiber Optic" 21 "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "No" "Bank Withdrawal" 114.9 7843.55 0 1647 1573.52 "Female" 46 "Yes" "No" 0 35.316263 -119.402559 236 1 5782 2 0 "-99"
"2681" "No" 0 61 "Offer B" "Yes" 15.02 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Mailed Check" 19.75 1124.2 0 0 916.22 "Male" 32 "No" "Yes" 2 34.43987 -118.644609 24977 0 5411 0 0 "-99"
"491" "Yes" 7 71 "Offer A" "Yes" 30.72 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Bank Withdrawal" 23.95 1756.2 0 0 2181.12 "Male" 66 "Yes" "No" 0 33.719221 -118.073596 1107 0 4329 1 0 "-99"
"5494" "Yes" 1 33 "None" "Yes" 10.34 "Yes" "Yes" "DSL" 22 "No" "No" "Yes" "Yes" "No" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Credit Card" 95 3008.15 0 0 341.22 "Female" 41 "Yes" "No" 0 39.182916 -123.552571 148 0 4639 0 0 "-99"
"2384" "No" 0 54 "Offer B" "Yes" 49.98 "No" "Yes" "Cable" 29 "Yes" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "No" "One Year" "Yes" "Credit Card" 109.616 5643.4 0 1637 2698.92 "Male" 31 "No" "No" 0 38.384648 -121.578701 1417 1 4406 2 4 "-99"
"255" "Yes" 3 25 "Offer C" "Yes" 33.63 "Yes" "Yes" "Cable" 28 "Yes" "No" "No" "No" "No" "Yes" "No" "No" "One Year" "Yes" "Bank Withdrawal" 92.612 2177.45 0 610 840.75 "Male" 80 "Yes" "No" 0 33.507255 -117.029473 46171 0 2673 6 0 "-99"
"1182" "No" 0 1 "None" "Yes" 23.2 "No" "Yes" "DSL" 23 "No" "No" "No" "No" "No" "Yes" "Yes" "No" "Month-to-Month" "No" "Bank Withdrawal" 83.096 79.9 0 0 23.2 "Male" 62 "No" "Yes" 3 34.266389 -118.459744 17112 1 3394 2 0 "-99"
"4751" "No" 0 53 "Offer B" "Yes" 33.74 "No" "Yes" "Fiber Optic" 56 "Yes" "Yes" "Yes" "No" "No" "Yes" "Yes" "No" "One Year" "No" "Bank Withdrawal" 95.95 5036.9 0 2821 1788.22 "Male" 38 "No" "Yes" 3 33.989524 -118.089299 63288 0 4523 0 0 "-99"
"1165" "Yes" 1 10 "None" "Yes" 24.48 "Yes" "Yes" "Cable" 33 "Yes" "No" "No" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 104.26 1064.65 0 0 244.8 "Female" 62 "Yes" "Yes" 2 33.976678 -118.065875 32148 1 5998 2 2 "-99"
"3989" "Yes" 6 49 "None" "Yes" 28.42 "Yes" "Yes" "Fiber Optic" 41 "No" "No" "No" "No" "No" "No" "Yes" "Yes" "Month-to-Month" "Yes" "Credit Card" 52.15 2583.75 0 0 1392.58 "Female" 19 "Yes" "No" 0 33.884073 -117.732197 20893 0 5224 1 0 "s4"
"1618" "No" 0 1 "None" "Yes" 14.26 "No" "Yes" "Cable" 51 "No" "No" "No" "No" "Yes" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 91.884 88.35 0 0 14.26 "Male" 23 "No" "No" 0 37.653947 -118.231443 340 1 4254 3 0 "-99"
"6451" "No" 0 21 "None" "Yes" 3.26 "Yes" "Yes" "Fiber Optic" 51 "No" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "No" "Credit Card" 75.3 1570.7 0 80.11 68.46 "Male" 25 "No" "No" 0 37.956963 -120.863055 596 0 2847 1 0 "-99"
"2137" "No" 0 66 "None" "Yes" 23.51 "Yes" "Yes" "DSL" 57 "Yes" "No" "Yes" "No" "Yes" "Yes" "Yes" "No" "Two Year" "Yes" "Credit Card" 110.292 6981.35 0 3979 1551.66 "Male" 30 "Yes" "No" 0 33.991782 -118.479229 31021 0 5602 3 1 "-99"
"2192" "No" 0 12 "None" "Yes" 34.81 "No" "Yes" "Fiber Optic" 18 "No" "No" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "One Year" "No" "Mailed Check" 99.32 1115.15 0 0 417.72 "Female" 61 "No" "No" 0 32.886925 -117.152162 74232 0 3538 6 2 "-99"
"5705" "No" 0 15 "None" "Yes" 39.87 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 19.6 299.4 0 0 598.05 "Female" 48 "No" "No" 0 39.783747 -120.661032 1839 1 3195 3 1 "-99"
"3559" "Yes" 4 70 "None" "Yes" 39.78 "No" "Yes" "Fiber Optic" 52 "No" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "Yes" "Bank Withdrawal" 80.4 5717.85 0 2973 2784.6 "Female" 28 "Yes" "No" 0 40.186772 -122.388361 26438 0 6367 0 0 "-99"
"6354" "Yes" 6 49 "None" "Yes" 35.29 "No" "Yes" "DSL" 28 "Yes" "No" "Yes" "Yes" "No" "No" "No" "No" "Month-to-Month" "No" "Bank Withdrawal" 61.75 3024.15 0 847 1729.21 "Female" 35 "Yes" "Yes" 1 37.916648 -122.008483 26022 0 5511 2 0 "s3"
"5863" "No" 0 15 "None" "Yes" 43.69 "No" "Yes" "DSL" 29 "Yes" "No" "Yes" "No" "No" "Yes" "Yes" "No" "One Year" "No" "Credit Card" 64.85 950.75 0 276 655.35 "Male" 31 "No" "Yes" 3 34.157137 -118.548511 27424 0 4442 1 0 "s4"
"5114" "No" 0 38 "None" "Yes" 43.19 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 20.3 743.05 0 0 1641.22 "Female" 43 "No" "No" 0 35.339796 -119.023552 44588 0 5919 1 0 "s5"
